round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces,checkmate_target
38,blue,Qh7+,25,24,25,32,Ql11-h7+,l11,h7,Queen,0,32,29,20,13,9,12,9,6,
38,yellow,Bxn4,25,24,25,32,Bm5xRn4,m5,n4,Bishop,1,32,29,20,8,9,12,9,5,
38,green,Kk8,25,24,30,32,Kk7-k8,k7,k8,King,0,32,29,20,8,9,12,9,5,
39,red,,25,24,30,32,,,,Pawn,0,32,29,20,8,9,12,9,5,
39,blue,Qj9++,25,24,30,32,Qh7-j9++,h7,j9,Queen,0,32,29,20,8,9,12,9,5,
39,yellow,Rf13,25,25,30,32,Rf14-f13,f14,f13,Rook,0,32,29,20,8,9,12,9,5,
39,green,Kk7,25,25,30,32,Kk8-k7,k8,k7,King,0,32,29,20,8,9,12,9,5,
40,red,,25,25,30,32,,,,Pawn,0,32,29,20,8,9,12,9,5,
40,blue,Rn5,25,25,30,32,Ra5-n5,a5,n5,Rook,0,32,29,20,8,9,12,9,5,
40,yellow,Bxl6+,25,25,30,32,Bn4xNl6+,n4,l6,Bishop,1,32,29,20,5,9,12,9,4,
40,green,Kk6,25,25,33,32,Kk7-k6,k7,k6,King,0,32,29,20,5,9,12,9,4,
41,red,,25,25,33,32,,,,Pawn,0,32,29,20,5,9,12,9,4,
41,blue,Qg6+,25,25,33,32,Qj9-g6+,j9,g6,Queen,0,32,29,20,5,9,12,9,4,
41,yellow,Rg14,25,25,33,32,Rk14-g14,k14,g14,Rook,0,32,29,20,5,9,12,9,4,
41,green,Kj7,25,25,33,32,Kk6-j7,k6,j7,King,0,32,29,20,5,9,12,9,4,
42,red,,25,25,33,32,,,,Pawn,0,32,29,20,5,9,12,9,4,
42,blue,Qxl6,25,25,33,32,Qg6xBl6,g6,l6,Queen,1,32,29,15,5,9,12,8,4,
42,yellow,e12,25,30,33,32,e13-e12,e13,e12,Pawn,0,32,29,15,5,9,12,8,4,
42,green,Ki7,25,30,33,32,Kj7-i7,j7,i7,King,0,32,29,15,5,9,12,8,4,
43,red,,25,30,33,32,,,,Pawn,0,32,29,15,5,9,12,8,4,
43,blue,Ri5+,25,30,33,32,Rn5-i5+,n5,i5,Rook,0,32,29,15,5,9,12,8,4,
43,yellow,exd11,25,30,33,32,e12xd11,e12,d11,Pawn,1,32,28,15,5,9,11,8,4,
43,green,Kj7,25,30,34,32,Ki7-j7,i7,j7,King,0,32,28,15,5,9,11,8,4,
44,red,,25,30,34,32,,,,Pawn,0,32,28,15,5,9,11,8,4,
44,blue,Bh7,25,30,34,32,Be4-h7,e4,h7,Bishop,0,32,28,15,5,9,11,8,4,
44,yellow,Rg7,25,30,34,32,Rg14-g7,g14,g7,Rook,0,32,28,15,5,9,11,8,4,
44,green,Nxf13,25,30,34,32,Nh12xRf13,h12,f13,Knight,1,32,28,10,5,9,11,7,4,
45,red,,25,30,34,37,,,,Pawn,0,32,28,10,5,9,11,7,4,
45,blue,Bi6+,25,30,34,37,Bh7-i6+,h7,i6,Bishop,0,32,28,10,5,9,11,7,4,
45,yellow,Kxf13,25,30,34,37,Ke14xNf13,e14,f13,King,1,32,28,10,2,9,11,7,3,
45,green,Ki8,25,30,37,37,Kj7-i8,j7,i8,King,0,32,28,10,2,9,11,7,3,
46,red,,25,30,37,37,,,,Pawn,0,32,28,10,2,9,11,7,3,
46,blue,Nf5,25,30,37,37,Ne3-f5,e3,f5,Knight,0,32,28,10,2,9,11,7,3,
46,yellow,Rg10,25,30,37,37,Rg7-g10,g7,g10,Rook,0,32,28,10,2,9,11,7,3,
46,green,Kh9,25,30,37,37,Ki8-h9,i8,h9,King,0,32,28,10,2,9,11,7,3,
47,red,,25,30,37,37,,,,Pawn,0,32,28,10,2,9,11,7,3,
47,blue,Ng7+,25,30,37,37,Nf5-g7+,f5,g7,Knight,0,32,28,10,2,9,11,7,3,
47,yellow,Rxd10,25,30,37,37,Rg10xd10,g10,d10,Rook,1,32,27,10,2,9,10,7,3,
47,green,Kxh8,25,30,38,37,Kh9xQh8,h9,h8,King,1,32,27,10,2,9,10,7,3,
48,red,,25,30,38,37,,,,Pawn,0,32,27,10,2,9,10,7,3,
48,blue,Ne8,25,30,38,37,Ng7-e8,g7,e8,Knight,0,32,27,10,2,9,10,7,3,
48,yellow,Rb10+,25,30,38,37,Rd10-b10+,d10,b10,Rook,0,32,27,10,2,9,10,7,3,
48,green,k4,25,30,38,37,l4-k4,l4,k4,Pawn,0,32,27,10,2,9,10,7,3,
49,red,,25,30,38,37,,,,Pawn,0,32,27,10,2,9,10,7,3,
49,blue,Kc9,25,30,38,37,Kb8-c9,b8,c9,King,0,32,27,10,2,9,10,7,3,
49,yellow,Rh10+,25,30,38,37,Rb10-h10+,b10,h10,Rook,0,32,27,10,2,9,10,7,3,
49,green,Ki7,25,30,38,37,Kh8-i7,h8,i7,King,0,32,27,10,2,9,10,7,3,
50,red,,25,30,38,37,,,,Pawn,0,32,27,10,2,9,10,7,3,
50,blue,Qxh10,25,30,38,37,Ql6xRh10,l6,h10,Queen,1,32,27,5,2,9,10,6,3,
50,yellow,d10+,25,35,38,37,d11-d10+,d11,d10,Pawn,0,32,27,5,2,9,10,6,3,
50,green,j4,25,35,38,37,k4-j4,k4,j4,Pawn,0,32,27,5,2,9,10,6,3,
51,red,,25,35,38,37,,,,Pawn,0,32,27,5,2,9,10,6,3,
51,blue,Kxd10,25,35,38,37,Kc9xd10,c9,d10,King,1,32,27,4,2,9,10,5,3,
51,yellow,f10,25,36,38,37,f11-f10,f11,f10,Pawn,0,32,27,4,2,9,10,5,3,
51,green,4xi5,25,36,38,37,j4xRi5,j4,i5,Pawn,1,32,22,4,2,9,9,5,3,
52,red,,25,36,38,42,,,,Pawn,0,32,22,4,2,9,9,5,3,
52,blue,Bk8+,25,36,38,42,Bi6-k8+,i6,k8,Bishop,0,32,22,4,2,9,9,5,3,
52,yellow,Kf14,25,36,38,42,Kf13-f14,f13,f14,King,0,32,22,4,2,9,9,5,3,
52,green,h5,25,36,38,42,i5-h5,i5,h5,Pawn,0,32,22,4,2,9,9,5,3,
53,red,,25,36,38,42,,,,Pawn,0,32,22,4,2,9,9,5,3,
53,blue,Qxf10++,25,36,38,42,Qh10xf10++,h10,f10,Queen,1,32,22,3,2,9,9,4,3,
53,yellow,Kg14,25,38,38,42,Kf14-g14,f14,g14,King,0,32,22,3,2,9,9,4,3,
53,green,Kh6,25,38,38,42,Ki7-h6,i7,h6,King,0,32,22,3,2,9,9,4,3,
54,red,,25,38,38,42,,,,Pawn,0,32,22,3,2,9,9,4,3,
